"SL No.","UPC Code","Item Name","Category Name","Last Purchase Price","Last Sale Price","Company Name","Stock Quantity","Total Quantity"
1,11804157640000,Aerosol-350ml,"Pest Control",,,ACI,0,0
2,11804157650000,Aerosol-475ml,"Pest Control",198,198,ACI,21,21
3,11804157660000,Aerosol-750ml,"Pest Control",0,0,ACI,0,0
4,11804157670000,"Air Freshner -300ml","Air Freshners",142,142,ACI,0,0
5,11804157680000,"Air Freshner-300ml","Air Freshners",170,170,"Kallol Group of Industries",11,11
6,11804157690000,"Air Freshner-300ml(02)","Air Freshners",158,158,"Square Toiletries Ltd",1,1
7,11804157700000,Airfreshner-325ml,"Air Freshners",155,155,,2,2
8,11804228600000,"Almonds (Kathbadam) - 100gm",Grossary,85,85,Local,1,1
9,11804228610000,"Almonds (Kathbadam) - 250gm",Grossary,212,212,Local,1,1
10,11804229470000,"Anti Cutter Deli ",Stationary,0,0,Deli,0,0
11,11804229460000,"Anti Cutter Deli - Small",Stationary,17.33,17.33,Deli,6,6
12,11804229480000,"Anti Cutter SDI",Stationary,24,24,SDI,11,11
13,11804229490000,"Anti Cutter SDI Blade 9MM",Stationary,7.22,7.22,SDI,8,8
14,11804228620000,"Apple (Green)",Fruit,0,0,Local,0,0
15,11804228630000,"Apple (Red)",Fruit,0,0,Local,0,0
16,11804229530000,"Ball Pen Linc Glycer (Black)",Stationary,7.16,7.16,"Linc Glycer",5,5
17,11807059860000,"Ball Pen Linc Glycer (Blue)",Stationary,7.8,7.8,"Linc Glycer",11,11
18,11807059850000,"Ball Pen Linc Glycer (Green)",Stationary,7.8,7.8,"Linc Glycer",11,11
19,11807059840000,"Ball Pen Linc Glycer (Red)",Stationary,7.88,7.88,"Linc Glycer",11,11
20,11804229520000,"Ball Pen Matador All Time",Stationary,4.27,4.27,Matador,94,94
21,11804229500000,"Ball Pen Matador Orbit",Stationary,0,0,Matador,0,0
22,11804229510000,"Ball Pen Matador Pin Point",Stationary,0,0,Matador,0,0
23,11804229540000,"Battery Pencil - AA - Sony",Stationary,8.65,8.65,Sony,50,50
24,11804229570000,"Battery Pencil - AA - Sun Light",Stationary,13,13,"Sun Light",30,30
25,11804229550000,"Battery Remote - AAA - Sony",Stationary,11.5,11.5,Sony,60,60
26,11804229560000,"Battery Remote - AAA - Sony Alkaline",Stationary,0,0,Sony,0,0
27,11804229580000,"Battery Remote - AAA - Sun Light",Stationary,9.5,9.5,"Sun Light",30,30
28,11804157710000,Baygon,"Pest Control",295,295,China,1,1
29,11804228640000,Beef,Meat,0,0,Local,0,0
30,11804228650000,"Bin Bag (24x38) - Black","Cleaning Products",80,80,Local,1,1
31,11804228660000,"Bin Bag (28x52) - Black","Cleaning Products",80,80,Local,1,1
32,11804229600000,"Binder Clip 1"" Inch - 12Pcs",Stationary,20.84,20.84,,33,33
33,11804229610000,"Binder Clip 2"" Inch - 12Pcs",Stationary,60,60,,17,17
34,11804229590000,"Binder Clip 3/4"" Inch - 12Pcs",Stationary,17,17,,35,35
35,11804228670000,"Bitter Gourd",Vegetables,0,0,Local,0,0
36,11804229650000,"Board Marker Doller",Stationary,0,0,Doller,0,0
37,11804229640000,"Board Marker Red Leaf",Stationary,0,0,"Red Leaf",0,0
38,11804229660000,"Board Pin Plastic Box",Stationary,14,14,Plastic,3,3
39,11807059870000,"Board Pin Plastic Box Big",Stationary,37,37,Plastic,1,1
40,11804228680000,"Bottle Gourd",Vegetables,0,0,Local,0,0
41,11804229680000,"Box File Deli",Stationary,0,0,Deli,0,0
42,11804229670000,"Box File Paper",Stationary,0,0,Paper,0,0
43,11804228690000,"Bread (Diabetic)",Grossary,0,0,,0,0
44,11804228700000,"Brinjal - Round",Vegetables,0,0,Local,0,0
45,11804228710000,"Brinjal - Stick",Vegetables,0,0,Local,0,0
46,11804228720000,Brocoli,Vegetables,0,0,Local,0,0
47,11804228730000,"Butter - 100gm",Grossary,0,0,,0,0
48,11804228740000,"Butter - 200gm",Grossary,165,165,,1,1
49,11804228750000,Cabbage,Vegetables,0,0,Local,0,0
50,11804157720000,"Canderal -300 Tablet","Sugar Substitute",249,249,"Merisant Group",26,26
51,11804157730000,"Canderal -75gm","Sugar Substitute",220,220,"Merisant Group",5,5
52,11804228760000,"Capcicum - Green",Vegetables,0,0,Local,0,0
53,11804228770000,"Capcicum - Red",Vegetables,0,0,Local,0,0
54,11804228780000,"Capcicum - Yellow",Vegetables,0,0,Local,0,0
55,11804229760000,"Carbon Paper Kores Both Sided",Stationary,235,235,,7,7
56,11804228790000,"Carrot - 1kg",Vegetables,0,0,Local,0,0
57,11804228800000,"Cat Litter","Cat Food",500,500,,1,1
58,11804228810000,Cauliflower,Vegetables,0,0,Local,0,0
59,11804229710000,"CD Marker Twin Marker - Both Side",Stationary,16,16,,21,21
60,11804229700000,"CD Melody",Stationary,11.5,11.5,Melody,50,50
