"SL No.","UPC Code","Item Name","Company Name","Category Name","Purchase Price","Sale Price",Category,Offer,"Available Quantity"
1,11804157650000,Aerosol-475ml,ACI,"Pest Control",198,198,"Pest Control",0,22
2,11804157670000,"Air Freshner -300ml",ACI,"Air Freshners",142,142,"Air Freshners",0,1
3,11804157680000,"Air Freshner-300ml","Kallol Group of Industries","Air Freshners",170,170,"Air Freshners",0,11
4,11804157690000,"Air Freshner-300ml(02)","Square Toiletries Ltd","Air Freshners",158,158,"Air Freshners",0,1
5,11804157700000,Airfreshner-325ml,,"Air Freshners",155,155,"Air Freshners",0,2
6,11804157710000,Baygon,China,"Pest Control",295,295,"Pest Control",0,1
7,11804157720000,"Canderal -300 Tablet","Merisant Group","Sugar Substitute",249,249,"Sugar Substitute",0,28
8,11804157730000,"Canderal -75gm","Merisant Group","Sugar Substitute",220,220,"Sugar Substitute",0,5
9,11804157740000,"Clorox - 200ml",Local,"Floor Cleaner",200,200,"Floor Cleaner",0,2
10,11804157750000,"Coconut Broom",Local,"Cleaning Accessories",20,20,"Cleaning Accessories",0,6
11,11804157760000,"Coffe Mate",Nestle,"Pantry Items",210,210,"Pantry Items",0,8
12,11804157780000,"Coil Tulshi",Local,"Pest Control",45,45,"Pest Control",0,37
13,11804157790000,"Coil Supreme",Local,"Pest Control",60,60,"Pest Control",0,2
14,11804157800000,"Condenced Milk","Abul Khair Ltd","Pantry Items",43,43,"Pantry Items",0,1
15,11804157830000,Dettol-750ml,"Reckitt & Benckeiser Ltd","Antiseptic Liquid",190,190,"Antiseptic Liquid",0,2
16,11804157840000,"Facial Tissue",Bashundhara,"Tissue Paper",41.2,41.2,"Tissue Paper",0,29
17,11804157870000,"Flower Broom",Local,"Cleaning Accessories",35,35,"Cleaning Accessories",0,1
18,11804157880000,"Green Tea-60gm","Kazi & Kazi","Pantry Items",135,135,"Pantry Items",0,4
19,11804157890000,"Harpic Flashmetic Comod Bar","Reckitt & Benckeiser Ltd","Toilet Cleaner",90,90,"Toilet Cleaner",0,10
20,11804157900000,"Harpic Liquid 750ml","Reckitt & Benckeiser Ltd","Toilet Cleaner",90,90,"Toilet Cleaner",0,30
21,11804157910000,"Kitchen Tissue",Bashundhara,"Tissue Paper",42.5,42.5,"Tissue Paper",0,8
22,11804157920000,"Lifebuoy - 100gm",Uniliver,Soap,25.78,25.78,Soap,0,2
23,11804157930000,"Lifebuoy Liquid 180 ml",Uniliver,Handwash,46.7,46.7,Handwash,0,17
24,11804157940000,"Lux - 75gm",Uniliver,Soap,22.08,22.08,Soap,0,58
25,11804157950000,"Lux - 40gm",Uniliver,Soap,8.94,8.94,Soap,0,5
26,11804157960000,"Milk Powder-1kg","Newzealand Dairy","Pantry Items",552,552,"Pantry Items",0,4
